dbname	url	slice
tgwikibooks	https://tg.wikibooks.org	s3.labsdb
gnwiki	https://gn.wikipedia.org	s3.labsdb
amwiki	https://am.wikipedia.org	s3.labsdb
nlwikinews	https://nl.wikinews.org	s3.labsdb
nahwikibooks	https://nah.wikibooks.org	s3.labsdb
towiki	https://to.wikipedia.org	s3.labsdb
eowikiquote	https://eo.wikiquote.org	s3.labsdb
eswiki	https://es.wikipedia.org	s7.labsdb
suwikiquote	https://su.wikiquote.org	s3.labsdb
papwiki	https://pap.wikipedia.org	s3.labsdb
bowiktionary	https://bo.wiktionary.org	s3.labsdb
itwikibooks	https://it.wikibooks.org	s3.labsdb
amwiktionary	https://am.wiktionary.org	s3.labsdb
rnwiki	https://rn.wikipedia.org	s3.labsdb
viwikisource	https://vi.wikisource.org	s3.labsdb
bclwiki	https://bcl.wikipedia.org	s3.labsdb
huwikiquote	https://hu.wikiquote.org	s3.labsdb
kkwikibooks	https://kk.wikibooks.org	s3.labsdb
usabilitywiki	https://usability.wikimedia.org	s3.labsdb
lowiki	https://lo.wikipedia.org	s3.labsdb
fawikinews	https://fa.wikinews.org	s3.labsdb
cswikiquote	https://cs.wikiquote.org	s3.labsdb
lowiktionary	https://lo.wiktionary.org	s3.labsdb
bmwiki	https://bm.wikipedia.org	s3.labsdb
sewikimedia	https://se.wikimedia.org	s3.labsdb
mlwiki	https://ml.wikipedia.org	s3.labsdb
eswikisource	https://es.wikisource.org	s3.labsdb
arwikiversity	https://ar.wikiversity.org	s3.labsdb
swwiktionary	https://sw.wiktionary.org	s3.labsdb
ttwikiquote	https://tt.wikiquote.org	s3.labsdb
frwikisource	https://fr.wikisource.org	s3.labsdb
fawikiquote	https://fa.wikiquote.org	s3.labsdb
lbwikibooks	https://lb.wikibooks.org	s3.labsdb
lawiktionary	https://la.wiktionary.org	s3.labsdb
gnwiktionary	https://gn.wiktionary.org	s3.labsdb
kbdwiki	https://kbd.wikipedia.org	s3.labsdb
wikimania2016wiki	https://wikimania2016.wikimedia.org	s3.labsdb
zuwikibooks	https://zu.wikibooks.org	s3.labsdb
fawiki	https://fa.wikipedia.org	s7.labsdb
nowikisource	https://no.wikisource.org	s3.labsdb
mswikibooks	https://ms.wikibooks.org	s3.labsdb
huwikisource	https://hu.wikisource.org	s3.labsdb
test2wiki	https://test2.wikipedia.org	s3.labsdb
